web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659740005-2894","https://www.zillow.com/avon-nc/for-sale/","41593 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41593-Ocean-View-Dr-Avon-NC-27915/86668907_zpid/","Built in 1987","0.34 Acres","Property detailsParkingParking features: Off Street, PavedAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, Concrete, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessFrontage length: Waterfront: 75,Roadfront: 75Has waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: Adj to Park Serv./Preserv, LevelOther property informationParcel number: 029593302Zoning description: R-1","7","9","6,329","41593 Ocean View Dr, Avon, NC 27915","$2,495,000","$2,495,000","",""
"1659740597-2991","https://www.zillow.com/hatteras-nc/for-sale/","0 Nc Highway 12 Lot 5, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Nc-Highway-12-Lot-5-Hatteras-NC-27943/2102530573_zpid/","No data","null","HOA and financial detailsHOAHas HOA: YesAmenities included: Boat Dock, Ocean Access, Sound AccessOther financial informationAnnual tax amount: $802","0","null","null","0 Nc Highway 12 Lot 5, Hatteras, NC 27943","$150,000","$150,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739849-2857","https://www.zillow.com/frisco-nc/for-sale/","52171 Mare Vista Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/52171-Mare-Vista-Dr-Frisco-NC-27936/228619539_zpid/","Built in 2002","0.46 Acres","Property detailsParkingParking features: Carport, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Fiberglass, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: SoundWaterfront features: Soundfront, WaterfrontHas waterview: YesWaterview: SoundLotLot size: 0.46 AcresLot size dimensions: 20,088 sfLot features: Easement(s), Level, LandscapedOther property informationParcel number: 014896001Zoning description: S - 1","5","6","3,738","52171 Mare Vista Dr, Frisco, NC 27936","$1,395,000","$1,395,000","",""
"1659739981-2887","https://www.zillow.com/avon-nc/for-sale/","42149 Park Dr LOT 1, Avon, NC 27915","https://www.zillow.com/homedetails/42149-Park-Dr-LOT-1-Avon-NC-27915/2120374656_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: ASKINS CREEK SEC 2 & 3","0","null","null","42149 Park Dr LOT 1, Avon, NC 27915","$199,950","$199,950","",""
"1659739830-2851","https://www.zillow.com/frisco-nc/for-sale/","53226 Runboat Cir, Frisco, NC 27936","https://www.zillow.com/homedetails/53226-Runboat-Cir-Frisco-NC-27936/250038401_zpid/","Built in 2003","10,500 sqft","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Gunite, Custom, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Patio, Sun DeckFencing: FencedView description: OceanWaterfront features: 4 - lots from oceanfront (5th ro, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 10,500 sqftLot size dimensions: 10500Lot features: LevelOther property informationParcel number: 029644044Zoning description: S-1","4","5","2,476","53226 Runboat Cir, Frisco, NC 27936","$797,000","$797,000","",""
"1659740567-2981","https://www.zillow.com/hatteras-nc/for-sale/","58178 Hatteras Harbor Ct LOT 9, Hatteras, NC 27943","https://www.zillow.com/homedetails/58178-Hatteras-Harbor-Ct-LOT-9-Hatteras-NC-27943/2078061251_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58178 Hatteras Harbor Ct LOT 9, Hatteras, NC 27943","$495,000","$495,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740518-2961","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2954","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739855-2859","https://www.zillow.com/frisco-nc/for-sale/","53321 State Highway 12, Frisco, NC 27936","https://www.zillow.com/homedetails/53321-State-Highway-12-Frisco-NC-27936/2078023663_zpid/","Built in 2001","No data","Property detailsParkingParking features: No GaragePropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun DeckWaterfront features: NoneOther property informationZoning description: S-1","1","1","2,150","53321 State Highway 12, Frisco, NC 27936","$549,000","$549,000","",""
"1659739885-2868","https://www.zillow.com/frisco-nc/for-sale/","54213 Shoresurf Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/54213-Shoresurf-Ln-Frisco-NC-27936/228619884_zpid/","Built in 1996","7,500 sqft","Property detailsParkingParking features: No Garage, Paved, Off Street, UndergroundHas garage: YesPropertyPool features: NoneView description: OceanWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 7,500 sqftLot features: LevelOther property informationParcel number: 015290000Zoning description: S-1","3","3","1,352","54213 Shoresurf Ln, Frisco, NC 27936","$450,000","$450,000","",""
"1659739683-2814","https://www.zillow.com/rodanthe-nc/for-sale/","23028 Cross Of Honor Way, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23028-Cross-Of-Honor-Way-Rodanthe-NC-27968/2087843831_zpid/","Built in 1990","0.57 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Ocean, SoundWaterfront features: Soundfront, Waterfront, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.57 AcresLot features: LevelOther property informationZoning description: Res","4","3","1,856","23028 Cross Of Honor Way, Rodanthe, NC 27968","$735,000","$735,000","",""
"1659739846-2856","https://www.zillow.com/frisco-nc/for-sale/","0 Buccaneer Dr LOT 2, Frisco, NC 27936","https://www.zillow.com/homedetails/0-Buccaneer-Dr-LOT-2-Frisco-NC-27936/2069951360_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $402","0","null","null","0 Buccaneer Dr LOT 2, Frisco, NC 27936","$99,500","$99,500","",""
"1659740090-2919","https://www.zillow.com/avon-nc/for-sale/","40227 Due E Road, Avon, NC 27915","https://www.zillow.com/homedetails/40227-Due-East-Rd-E-Avon-NC-27915/2062142552_zpid/","Built in 1985","No data","Property detailsParkingTotal spaces: 4Parking features: Concrete, Attached CarportCovered spaces: 4Carport spaces: 4PropertyLevels: TwoStories: 2Pool features: See RemarksExterior features: Outdoor ShowerPatio and porch details: Covered, Deck, Patio, Porch, ScreenedFencing: NoneWaterfront features: Ocean SideLiving area range: 1000 - 1199 Square FeetLotLot size dimensions: 185x56Lot features: City LotOther property informationParcel number: 064014238331Zoning description: R-1Special conditions: StandardOther equipment: No Fuel Tank","3","2","1,008","40227 Due E Road, Avon, NC 27915","$395,000","$395,000","",""
"1659740610-2995","https://www.zillow.com/hatteras-nc/for-sale/","0 Pricilla Curve Road, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Pricilla-Curve-Road-Hatteras-NC-27943/2091512145_zpid/","Central, heat pump","$645 price/sqft","Property detailsParkingParking features: No Garage, Off Street, UndergroundHas garage: YesPropertyPool features: NonePatio and porch details: Sun DeckView description: Ocean, Pond, Salt Marsh, SoundWaterfront features: NoneResidential vegetation: WoodedHas waterview: YesWaterview: Ocean,Pond,Salt Marsh,SoundLotLot size: 0.28 AcresLot features: LevelOther property informationZoning description: RES","null","null","892","0 Pricilla Curve Road, Hatteras, NC 27943","$575,000","$575,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739833-2852","https://www.zillow.com/frisco-nc/for-sale/","54053 Sandpiper Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/54053-Sandpiper-Dr-Frisco-NC-27936/228619719_zpid/","Built in 1999","0.42 Acres","Property detailsParkingParking features: Paved, Off StreetPropertyPrivate pool: YesPool features: Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.42 AcresLot features: LevelOther property informationParcel number: 015137004Zoning description: S-1","8","6","3,912","54053 Sandpiper Dr, Frisco, NC 27936","$1,799,000","$1,799,000","",""
"1659739875-2865","https://www.zillow.com/frisco-nc/for-sale/","50186 Buccaneer Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/50186-Buccaneer-Dr-Frisco-NC-27936/228617020_zpid/","Built in 1976","0.36 Acres","Property detailsParkingParking features: Off Street, PavedPropertyPool features: NoneExterior features: Lighting, StorageView description: Canal, SoundWaterfront features: Canal Front, WaterfrontHas waterview: YesWaterview: Canal,SoundLotLot size: 0.36 AcresLot features: LevelOther property informationParcel number: 01195000001Zoning description: Res","2","2","1,232","50186 Buccaneer Dr, Frisco, NC 27936","$389,000","$389,000","",""
"1659740518-2943","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740069-2913","https://www.zillow.com/avon-nc/for-sale/","42153 Pheasant Cir, Avon, NC 27915","https://www.zillow.com/homedetails/42153-Pheasant-Cir-Avon-NC-27915/86666782_zpid/","Built in 1992","0.32 Acres","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: Association Pool, Optional with Additional FeeSpa included: YesSpa features: Private, Jet TubExterior features: Outdoor Shower, Dry EntryPatio and porch details: Screened Porch, Roof Top DeckView description: Ocean, SoundWaterfront features: Boardwalk to BeachHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.32 AcresLot features: Adj. To Common Area, Cul-De-Sac, Level, LandscapedOther property informationParcel number: 027817011Zoning description: R-1","4","3","2,296","42153 Pheasant Cir, Avon, NC 27915","$615,000","$615,000","",""
"1659739765-2832","https://www.zillow.com/frisco-nc/for-sale/","0 Timber Trl LOT 24, Frisco, NC 27936","https://www.zillow.com/homedetails/0-Timber-Trl-LOT-24-Frisco-NC-27936/2098192573_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $306","1","null","null","0 Timber Trl LOT 24, Frisco, NC 27936","$65,000","$65,000","",""
"1659740642-3005","https://www.zillow.com/hatteras-nc/for-sale/","56192 Austin Rd, Hatteras, NC 27943","https://www.zillow.com/homedetails/56192-Austin-Rd-Hatteras-NC-27943/228620431_zpid/","Built in 1994","0.61 Acres","Property detailsParkingParking features: Off StreetPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.61 AcresLot features: Corner Lot, LevelOther property informationParcel number: 016004000Zoning description: Res","4","4","2,533","56192 Austin Rd, Hatteras, NC 27943","$999,000","$999,000","",""
"1659739940-2874","https://www.zillow.com/avon-nc/for-sale/","0 Askins Creek Dr LOT 46, Avon, NC 27915","https://www.zillow.com/homedetails/0-Askins-Creek-Dr-LOT-46-Avon-NC-27915/2099898135_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek","0","null","null","0 Askins Creek Dr LOT 46, Avon, NC 27915","$175,000","$175,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739998-2892","https://www.zillow.com/avon-nc/for-sale/","41155 Channel Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41155-Channel-Ct-Avon-NC-27915/228619364_zpid/","Built in 2003","0.34 Acres","Property detailsParkingParking features: Attached, Off Street, PavedPropertyPrivate pool: YesPool features: Association Pool, Heated, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Storage, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Lake Front, WaterfrontHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.34 AcresLot features: Cul-De-Sac, LevelOther property informationParcel number: 014822717Zoning description: Res","6","6","4,018","41155 Channel Ct, Avon, NC 27915","$923,000","$923,000","",""
"1659739827-2850","https://www.zillow.com/frisco-nc/for-sale/","50092 Kings Point Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/50092-Kings-Point-Dr-Frisco-NC-27936/228616958_zpid/","Built in 1996","8,500 sqft","Property detailsParkingParking features: No Garage, Off Street, PavedPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor Shower, DockPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Canal, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontFrontage length: Waterfront: 70,Roadfront: 70Has waterview: YesWaterview: Canal,SoundLotLot size: 8,500 sqftLot size dimensions: 8500Other property informationParcel number: 011859000Zoning description: S-1","4","5","3,133","50092 Kings Point Dr, Frisco, NC 27936","$825,000","$825,000","",""
"1659739988-2889","https://www.zillow.com/avon-nc/for-sale/","41444 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41444-Portside-Dr-Avon-NC-27915/228619307_zpid/","Built in 2005","3,000 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, Heated Salt, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Salt Marsh, SoundWaterfront features: SoundfrontHas waterview: YesWaterview: Salt Marsh,SoundLotLot size: 3,000 sqftLot features: Adj to Park Serv./Preserv, Adj. To Common AreaOther property informationParcel number: 014822246Zoning description: R-2","7","10","4,288","41444 Portside Dr, Avon, NC 27915","$1,295,000","$1,295,000","",""
"1659740025-2900","https://www.zillow.com/avon-nc/for-sale/","41102 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41102-Ocean-View-Dr-Avon-NC-27915/228619188_zpid/","Built in 1996","0.34 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPrivate pool: YesPool features: Association Pool, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: LevelOther property informationParcel number: 014822022Zoning description: res","6","6","2,676","41102 Ocean View Dr, Avon, NC 27915","$1,025,000","$1,025,000","",""
"1659740546-2975","https://www.zillow.com/hatteras-nc/for-sale/","58230 State Highway 12, Hatteras, NC 27943","https://www.zillow.com/homedetails/58230-State-Highway-12-Hatteras-NC-27943/2068384339_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: None","1","null","null","58230 State Highway 12, Hatteras, NC 27943","$350,000","$350,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740034-2903","https://www.zillow.com/avon-nc/for-sale/","41195 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41195-Ocean-View-Dr-Avon-NC-27915/228619172_zpid/","Built in 1999","0.34 Acres","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: Outdoor Pool, In Ground, Association Pool, AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Canal, Ocean, Park Serv/Preserve, Pond, Salt MarshWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: Canal,Ocean,Pond,Salt MarshLotLot size: 0.34 AcresLot features: Adj to Park Serv./PreservOther property informationParcel number: 014822009Zoning description: RES","7","7","5,130","41195 Ocean View Dr, Avon, NC 27915","$1,495,000","$1,495,000","",""
"1659739843-2855","https://www.zillow.com/frisco-nc/for-sale/","52175 Cardinal St, Frisco, NC 27936","https://www.zillow.com/homedetails/52175-Cardinal-St-Frisco-NC-27936/86653612_zpid/","Built in 1987","5,500 sqft","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Attached, Parking Garage, On Street, UnpavedGarage spaces: 1PropertyPool features: NoneView description: CanalWaterfront features: Canal Front, WaterfrontFrontage length: Waterfront: 65,Roadfront: 65Has waterview: YesWaterview: CanalLotLot size: 5,500 sqftLot size dimensions: 5500Other property informationParcel number: 014092000Zoning description: S-1","3","3","1,698","52175 Cardinal St, Frisco, NC 27936","$410,000","$410,000","",""
"1659740082-2917","https://www.zillow.com/avon-nc/for-sale/","39916 State Highway 12, Avon, NC 27915","https://www.zillow.com/homedetails/39916-State-Highway-12-Avon-NC-27915/86652084_zpid/","Built in 1977","6,500 sqft","Property detailsParkingParking features: Off StreetPropertyPool features: NoneExterior features: Outdoor Shower, StoragePatio and porch details: Covered Decks, Sun DeckWaterfront features: NoneLotLot size: 6,500 sqftLot features: LevelOther property informationParcel number: 013666000Zoning description: Res","3","1","1,008","39916 State Highway 12, Avon, NC 27915","$399,000","$399,000","",""
"1659740072-2914","https://www.zillow.com/avon-nc/for-sale/","40223 Moore Way, Avon, NC 27915","https://www.zillow.com/homedetails/40223-Moore-Way-Avon-NC-27915/228619153_zpid/","Built in 1996","8,000 sqft","Property detailsParkingParking features: No Garage, Off Street, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivatePatio and porch details: Screened Porch, Sun Deck, Roof Top DeckView description: OceanWaterfront features: More than 5th rowHas waterview: YesWaterview: OceanLotLot size: 8,000 sqftOther property informationParcel number: 014811002Zoning description: res","3","3","1,900","40223 Moore Way, Avon, NC 27915","$589,000","$589,000","",""
"1659739936-2873","https://www.zillow.com/avon-nc/for-sale/","41408 Portside Dr LOT 27, Avon, NC 27915","https://www.zillow.com/homedetails/41408-Portside-Dr-LOT-27-Avon-NC-27915/2099896331_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Kinnakeet Shore","3","null","null","41408 Portside Dr LOT 27, Avon, NC 27915","$99,500","$99,500","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739642-2801","https://www.zillow.com/rodanthe-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740144-2932","https://www.zillow.com/buxton-nc/for-sale/","47190 Rocky Rollinson Rd LOT 3, Buxton, NC 27920","https://www.zillow.com/homedetails/47190-Rocky-Rollinson-Rd-LOT-3-Buxton-NC-27920/2088310346_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: John Osler III Division","1","null","null","47190 Rocky Rollinson Rd LOT 3, Buxton, NC 27920","$224,500","$224,500","",""
"1659740015-2897","https://www.zillow.com/avon-nc/for-sale/","41488 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41488-Portside-Dr-Avon-NC-27915/228619301_zpid/","Built in 2005","No data","Property detailsParkingParking features: PavedPropertyPrivate pool: YesPool features: Association Pool, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Salt Marsh, SoundWaterfront features: Soundfront, WaterfrontHas waterview: YesWaterview: Salt Marsh,SoundLotLot features: Cul-De-Sac, LevelOther property informationParcel number: 014822236Zoning description: RES","1","10","6,265","41488 Portside Dr, Avon, NC 27915","$2,400,000","$2,400,000","",""
"1659740146-2933","https://www.zillow.com/buxton-nc/for-sale/","0 State Highway 12, Buxton, NC 27920","https://www.zillow.com/homedetails/0-State-Highway-12-Buxton-NC-27920/2092233311_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: Buxton","0","null","null","0 State Highway 12, Buxton, NC 27920","$75,000","$75,000","",""
"1659740042-2905","https://www.zillow.com/avon-nc/for-sale/","40823 State Highway 12, Avon, NC 27915","https://www.zillow.com/homedetails/40823-State-Highway-12-Avon-NC-27915/86653145_zpid/","Built in 1987","0.36 Acres","Property detailsParkingParking features: UndergroundHas garage: YesPropertyPrivate pool: YesPool features: In Ground, Private Pool, PrivateSpa included: YesSpa features: PrivateView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.36 AcresLot size dimensions: .36Lot features: LevelOther property informationParcel number: 014690001Zoning description: Res","5","5","2,622","40823 State Highway 12, Avon, NC 27915","$975,000","$975,000","",""
"1659739711-2822","https://www.zillow.com/rodanthe-nc/for-sale/","24143 Ocean Dr S, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24143-Ocean-Dr-S-Rodanthe-NC-27968/2067441668_zpid/","Built in 1989","5,000 sqft","Property detailsParkingParking features: Off Street, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 5,000 sqftLot features: LevelOther property informationZoning description: S-1","4","3","2,424","24143 Ocean Dr S, Rodanthe, NC 27968","$670,000","$670,000","",""
"1659740038-2904","https://www.zillow.com/avon-nc/for-sale/","41380 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41380-Ocean-View-Dr-Avon-NC-27915/228619219_zpid/","Built in 1996","0.34 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Above Ground, Association Pool, Heated, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, PondWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: Ocean,PondLotLot size: 0.34 AcresLot features: LevelOther property informationParcel number: 014822053Zoning description: Res","5","5","2,778","41380 Ocean View Dr, Avon, NC 27915","$950,000","$950,000","",""
"1659740171-2938","https://www.zillow.com/buxton-nc/for-sale/","47726 State Highway 12, Buxton, NC 27920","https://www.zillow.com/homedetails/47726-State-Highway-12-Buxton-NC-27920/2062290088_zpid/","Built in 1975","$309 price/sqft","Property detailsParkingParking features: Off StreetPropertyPool features: NoneExterior features: StoragePatio and porch details: Screened Porch, Sun DeckWaterfront features: Semi-SoundfrontLotLot size: 0.55 AcresLot features: LevelOther property informationZoning description: R-2A","2","1","923","47726 State Highway 12, Buxton, NC 27920","$285,000","$285,000","",""
"1659739786-2838","https://www.zillow.com/frisco-nc/for-sale/","53117 Sundog Run LOT 6, Frisco, NC 27936","https://www.zillow.com/homedetails/53117-Sundog-Run-LOT-6-Frisco-NC-27936/2099986915_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Sunset Village - PH 1","0","null","null","53117 Sundog Run LOT 6, Frisco, NC 27936","$145,000","$145,000","",""
"1659739789-2839","https://www.zillow.com/frisco-nc/for-sale/","50811 Timber Trl LOT 34, Frisco, NC 27936","https://www.zillow.com/homedetails/50811-Timber-Trl-LOT-34-Frisco-NC-27936/2067398011_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $516","2","null","null","50811 Timber Trl LOT 34, Frisco, NC 27936","$225,000","$225,000","",""
"1659740102-2922","https://www.zillow.com/avon-nc/for-sale/","40231 Fitzwater Ct, Avon, NC 27915","https://www.zillow.com/homedetails/40231-Fitzwater-Ct-Avon-NC-27915/228618123_zpid/","Built in 1987","6,500 sqft","Property detailsPropertyPool features: NoneExterior features: LightingPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 6,500 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 013457000Zoning description: Res","3","2","1,200","40231 Fitzwater Ct, Avon, NC 27915","$650,000","$650,000","",""
"1659740518-2970","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739966-2882","https://www.zillow.com/avon-nc/for-sale/","40331 E Ocean Isle Loop LOT 3, Avon, NC 27915","https://www.zillow.com/homedetails/40331-E-Ocean-Isle-Loop-LOT-3-Avon-NC-27915/2064561007_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Ocean Isle Esta","0","null","null","40331 E Ocean Isle Loop LOT 3, Avon, NC 27915","$1,275,000","$1,275,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739811-2846","https://www.zillow.com/frisco-nc/for-sale/","0 & 50273 Spencer Ln LOT A & B, Frisco, NC 27936","https://www.zillow.com/homedetails/0-50273-Spencer-Ln-LOT-A-B-Frisco-NC-27936/2067458861_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: None","5","null","null","0 & 50273 Spencer Ln LOT A & B, Frisco, NC 27936","$199,000","$199,000","",""
"1659740132-2928","https://www.zillow.com/buxton-nc/for-sale/","46091 Ocean Dr LOT 29, Buxton, NC 27920","https://www.zillow.com/homedetails/46091-Ocean-Dr-LOT-29-Buxton-NC-27920/2064102724_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: Cape Hatteras Seashore SEC B","7","null","null","46091 Ocean Dr LOT 29, Buxton, NC 27920","$155,000","$155,000","",""
"1659740066-2912","https://www.zillow.com/avon-nc/for-sale/","40347 Ocean Isle Loop, Avon, NC 27915","https://www.zillow.com/homedetails/40347-Ocean-Isle-Loop-Avon-NC-27915/228618884_zpid/","Built in 2003","0.40 Acres","Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckFencing: FencedView description: Ocean, SoundWaterfront features: Ocean Front, Waterfront, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.40 AcresLot features: LandscapedOther property informationParcel number: 014564004Zoning description: C-2","8","10","5,800","40347 Ocean Isle Loop, Avon, NC 27915","$2,775,000","$2,775,000","",""
